frame_number,label_m,triangle_m,inward_to_return_m,return_to_inward_m
400,-0.085969,0.000000,nan,11.994239
401,-0.086878,0.064943,nan,11.994239
402,-0.087765,0.129886,nan,11.994239
403,-0.088624,0.194828,nan,11.994239
404,-0.089450,0.259771,nan,11.994239
405,-0.090244,0.324714,nan,11.994239
406,-0.091006,0.389657,nan,11.994239
407,-0.091726,0.454599,nan,11.994239
408,-0.092411,0.519542,nan,11.994239
409,-0.093060,0.584485,nan,11.994239
410,-0.093674,0.649428,nan,11.994239
411,-0.094253,0.714371,nan,11.994239
412,-0.094789,0.779313,nan,11.994239
413,-0.095287,0.844256,nan,11.994239
414,-0.095751,0.909199,nan,11.994239
415,-0.096183,0.974142,nan,11.994239
416,-0.096582,1.039084,nan,11.994239
417,-0.096946,1.104027,nan,11.994239
418,-0.097276,1.168970,nan,11.994239
419,-0.097579,1.233913,nan,11.994239
420,-0.097856,1.298856,nan,11.994239
421,-0.098108,1.363798,nan,11.994239
422,-0.098334,1.428741,nan,11.994239
423,-0.098535,1.493684,nan,11.994239
424,-0.098716,1.558627,nan,11.994239
425,-0.098879,1.623569,nan,11.994239
426,-0.099026,1.688512,nan,11.994239
427,-0.099155,1.753455,nan,11.994239
428,-0.099267,1.818398,nan,11.994239
429,-0.099367,1.883341,nan,11.994239
430,-0.099455,1.948283,nan,11.994239
431,-0.099533,2.013226,nan,11.994239
432,-0.099601,2.078169,nan,11.994239
433,-0.099659,2.143112,nan,11.994239
434,-0.099709,2.208055,nan,11.994239
435,-0.099753,2.272997,nan,11.994239
436,-0.099792,2.337940,nan,11.994239
437,-0.099825,2.402883,nan,11.994239
438,-0.099852,2.467826,nan,11.994239
439,-0.099876,2.532768,nan,11.994239
440,-0.099896,2.597711,nan,11.994239
441,-0.099913,2.662654,nan,11.994239
442,-0.099928,2.727597,nan,11.994239
443,-0.099940,2.792540,nan,11.994239
444,-0.099951,2.857482,nan,11.994239
445,-0.099959,2.922425,nan,11.994239
446,-0.099967,2.987368,nan,12.573166
447,-0.099973,3.052311,nan,12.573166
448,-0.099978,3.117254,nan,12.573166
449,-0.099982,3.182196,nan,12.573166
450,-0.099985,3.247139,nan,12.573166
451,-0.099988,3.312082,nan,12.573166
452,-0.099991,3.377025,nan,12.573166
453,-0.099999,3.441967,nan,12.573166
454,-0.100000,3.506910,nan,12.573166
455,-0.100000,3.571853,nan,12.573166
456,-0.100000,3.636796,nan,12.573166
457,-0.100000,3.701738,nan,12.573166
458,-0.100000,3.766681,nan,12.573166
459,-0.100000,3.831624,nan,12.573166
460,-0.100000,3.896567,nan,12.573166
461,-0.100000,3.961509,nan,12.573166
462,-0.100000,4.026453,nan,12.573166
463,-0.100000,4.091395,nan,12.573166
464,-0.100000,4.156338,nan,12.573166
465,-0.100000,4.221281,nan,12.573166
466,-0.100000,4.286223,nan,12.573166
467,-0.100000,4.351166,nan,12.573166
468,-0.100000,4.416109,nan,12.573166
469,-0.100000,4.481052,nan,12.573166
470,-0.100000,4.545995,nan,12.573166
471,-0.100000,4.610938,nan,12.573166
472,-0.100000,4.675880,nan,12.573166
473,-0.100000,4.740823,nan,12.573166
474,-0.100000,4.805766,nan,12.573166
475,-0.100000,4.870708,nan,12.573166
476,-0.100000,4.935651,nan,12.573166
477,-0.100000,5.000594,nan,12.573166
