frame_number,label_m,triangle_m,inward_to_return_m,return_to_inward_m
400,-0.085969,0.000000,nan,-0.100000
401,-0.086878,0.064943,nan,-0.100000
402,-0.087765,0.129886,nan,-0.100000
403,-0.088624,0.194828,nan,-0.100000
404,-0.089450,0.259771,nan,-0.100000
405,-0.090244,0.324714,nan,-0.100000
406,-0.091006,0.389657,nan,-0.100000
407,-0.091726,0.454599,nan,-0.099994
408,-0.092411,0.519542,nan,-0.099985
409,-0.093060,0.584485,nan,-0.099973
410,-0.093674,0.649428,nan,-0.099960
411,-0.094253,0.714371,nan,-0.099943
412,-0.094789,0.779313,nan,-0.099921
413,-0.095287,0.844256,nan,-0.099896
414,-0.095751,0.909199,nan,-0.099865
415,-0.096183,0.974142,nan,-0.099828
416,-0.096582,1.039084,nan,-0.099782
417,-0.096946,1.104027,nan,-0.099726
418,-0.097276,1.168970,nan,-0.099659
419,-0.097579,1.233913,nan,-0.099580
420,-0.097856,1.298856,nan,-0.099486
421,-0.098108,1.363798,nan,-0.099373
422,-0.098334,1.428741,nan,-0.099235
423,-0.098535,1.493684,nan,-0.099074
424,-0.098716,1.558627,nan,-0.098884
425,-0.098879,1.623569,nan,-0.098663
426,-0.099026,1.688512,nan,-0.098402
427,-0.099155,1.753455,nan,-0.098088
428,-0.099267,1.818398,nan,-0.097725
429,-0.099367,1.883341,nan,-0.097304
430,-0.099455,1.948283,nan,-0.096820
431,-0.099533,2.013226,nan,-0.096258
432,-0.099601,2.078169,nan,-0.095593
433,-0.099659,2.143112,nan,-0.094830
434,-0.099709,2.208055,nan,-0.093961
435,-0.099753,2.272997,nan,-0.092974
436,-0.099792,2.337940,nan,-0.091850
437,-0.099825,2.402883,nan,-0.090536
438,-0.099852,2.467826,nan,-0.089050
439,-0.099876,2.532768,nan,-0.087382
440,-0.099896,2.597711,nan,-0.085515
441,-0.099913,2.662654,nan,-0.083427
442,-0.099928,2.727597,nan,-0.081018
443,-0.099940,2.792540,nan,-0.078336
444,-0.099951,2.857482,nan,-0.075359
445,-0.099959,2.922425,nan,-0.072066
446,-0.099967,2.987368,nan,-0.068435
447,-0.099973,3.052311,nan,-0.064328
448,-0.099978,3.117254,nan,-0.059805
449,-0.099982,3.182196,nan,-0.054854
450,-0.099985,3.247139,nan,-0.049453
451,-0.099988,3.312082,nan,-0.043578
452,-0.099991,3.377025,nan,-0.037071
453,-0.099999,3.441967,nan,-0.029987
454,-0.100000,3.506910,nan,-0.022340
455,-0.100000,3.571853,nan,-0.014110
456,-0.100000,3.636796,nan,-0.005278
457,-0.100000,3.701738,nan,0.004312
458,-0.100000,3.766681,nan,0.014625
459,-0.100000,3.831624,nan,0.025604
460,-0.100000,3.896567,nan,0.037256
461,-0.100000,3.961509,nan,0.049593
462,-0.100000,4.026453,nan,0.062739
463,-0.100000,4.091395,nan,0.076685
464,-0.100000,4.156338,nan,0.091323
465,-0.100000,4.221281,nan,0.106647
466,-0.100000,4.286223,nan,0.122647
467,-0.100000,4.351166,nan,0.139398
468,-0.100000,4.416109,nan,0.156906
469,-0.100000,4.481052,nan,0.175023
470,-0.100000,4.545995,nan,0.193724
471,-0.100000,4.610938,nan,0.212976
472,-0.100000,4.675880,nan,0.232796
473,-0.100000,4.740823,nan,0.253183
474,-0.100000,4.805766,nan,0.273981
475,-0.100000,4.870708,nan,0.295141
476,-0.100000,4.935651,nan,0.316617
477,-0.100000,5.000594,nan,0.338379
478,-0.100000,5.065537,nan,0.360387
479,-0.100000,5.130480,nan,0.382515
480,-0.100000,5.195422,nan,0.404712
481,-0.100000,5.260365,nan,0.426922
482,-0.100000,5.325308,nan,0.449094
483,-0.100000,5.390251,nan,0.471117
484,-0.100000,5.455194,nan,0.492952
485,-0.100000,5.520136,nan,0.514551
486,-0.100000,5.585079,nan,0.535867
487,-0.100000,5.650022,nan,0.556857
488,-0.100000,5.714965,nan,0.577353
489,-0.100000,5.779907,nan,0.597405
490,-0.100000,5.844850,nan,0.616992
491,-0.100000,5.909793,nan,0.636091
492,-0.100000,5.974736,nan,0.654678
493,-0.100000,6.039679,nan,0.672599
494,-0.100000,6.104621,nan,0.689943
495,-0.100000,6.169564,nan,0.706742
496,-0.100000,6.234507,nan,0.723002
497,-0.100000,6.299449,nan,0.738730
498,-0.100000,6.364392,nan,0.753837
499,-0.100000,6.429335,nan,0.768415
500,-0.100000,6.494278,nan,0.782547
501,-0.100000,6.559221,nan,0.796270
502,-0.100000,6.624164,nan,0.809619
503,-0.100000,6.689106,nan,0.822593
504,-0.100000,6.754049,nan,0.835284
505,-0.100000,6.818992,nan,0.847790
506,-0.100000,6.883934,nan,0.860172
507,-0.100000,6.948877,nan,0.872483
508,-0.100000,7.013820,nan,0.884799
509,-0.100000,7.078763,nan,0.897232
510,-0.100000,7.143706,nan,0.909844
511,-0.100000,7.208649,nan,0.922703
512,-0.100000,7.273592,nan,0.935877
513,-0.100000,7.338534,nan,0.949473
514,-0.100000,7.403477,nan,0.963670
515,-0.100000,7.468420,nan,0.978436
516,-0.100000,7.533362,nan,0.993834
517,-0.100000,7.598305,nan,1.009928
518,-0.100000,7.663248,nan,1.026821
519,-0.100000,7.728191,nan,1.044782
520,-0.100000,7.793134,nan,1.063654
521,-0.100000,7.858077,nan,1.083488
