frame_number,label_m,pred_m,triangle_m,ml_direction
400,-0.085969,0.035506,0.000000,0
401,-0.086878,0.035506,0.064943,0
402,-0.087765,0.035506,0.129886,0
403,-0.088624,0.035506,0.194828,0
404,-0.089450,0.035506,0.259771,0
405,-0.090244,0.035506,0.324714,0
406,-0.091006,0.035506,0.389657,0
407,-0.091726,0.035506,0.454599,0
408,-0.092411,0.035506,0.519542,0
409,-0.093060,0.035506,0.584485,0
410,-0.093674,0.035506,0.649428,0
411,-0.094253,0.035506,0.714371,0
412,-0.094789,0.035506,0.779313,0
413,-0.095287,0.035506,0.844256,0
414,-0.095751,0.035506,0.909199,0
415,-0.096183,0.035506,0.974142,0
416,-0.096582,0.035507,1.039084,0
417,-0.096946,0.035522,1.104027,0
418,-0.097276,0.035651,1.168970,0
419,-0.097579,0.036395,1.233913,0
420,-0.097856,0.039280,1.298856,0
421,-0.098108,0.047238,1.363798,1
422,-0.098334,0.063944,1.428741,1
423,-0.098535,0.092810,1.493684,1
424,-0.098716,0.136543,1.558627,1
425,-0.098879,0.195363,1.623569,1
426,-0.099026,0.262017,1.688512,1
427,-0.099155,0.320005,1.753455,1
428,-0.099267,0.355391,1.818398,1
429,-0.099367,0.369629,1.883341,0
430,-0.099455,0.373286,1.948283,0
431,-0.099533,0.373879,2.013226,0
432,-0.099601,0.373938,2.078169,0
433,-0.099659,0.373940,2.143112,0
434,-0.099709,0.373940,2.208055,0
435,-0.099753,0.373940,2.272997,0
436,-0.099792,0.373940,2.337940,0
437,-0.099825,0.373940,2.402883,0
438,-0.099852,0.373940,2.467826,0
439,-0.099876,0.373940,2.532768,0
440,-0.099896,0.373940,2.597711,0
441,-0.099913,0.373940,2.662654,0
442,-0.099928,0.373940,2.727597,0
443,-0.099940,0.373940,2.792540,0
444,-0.099951,0.373940,2.857482,0
445,-0.099959,0.373940,2.922425,0
446,-0.099967,0.373940,2.987368,0
447,-0.099973,0.373940,3.052311,0
448,-0.099978,0.373940,3.117254,0
449,-0.099982,0.373940,3.182196,0
450,-0.099985,0.373940,3.247139,0
451,-0.099988,0.373940,3.312082,0
452,-0.099991,0.373940,3.377025,0
453,-0.099999,0.373940,3.441967,0
454,-0.100000,0.373940,3.506910,0
455,-0.100000,0.373940,3.571853,0
456,-0.100000,0.373940,3.636796,0
457,-0.100000,0.373940,3.701738,0
458,-0.100000,0.373940,3.766681,0
459,-0.100000,0.373940,3.831624,0
460,-0.100000,0.373940,3.896567,0
461,-0.100000,0.373940,3.961509,0
462,-0.100000,0.373940,4.026453,0
463,-0.100000,0.373940,4.091395,0
464,-0.100000,0.373940,4.156338,0
465,-0.100000,0.373940,4.221281,0
466,-0.100000,0.373940,4.286223,0
467,-0.100000,0.373940,4.351166,0
468,-0.100000,0.373940,4.416109,0
469,-0.100000,0.373940,4.481052,0
470,-0.100000,0.373940,4.545995,0
471,-0.100000,0.373940,4.610938,0
472,-0.100000,0.373940,4.675880,0
473,-0.100000,0.373940,4.740823,0
474,-0.100000,0.373940,4.805766,0
475,-0.100000,0.373940,4.870708,0
476,-0.100000,0.373940,4.935651,0
477,-0.100000,0.373940,5.000594,0
478,-0.100000,0.373940,5.065537,0
479,-0.100000,0.373940,5.130480,0
480,-0.100000,0.373940,5.195422,0
481,-0.100000,0.373940,5.260365,0
482,-0.100000,0.373940,5.325308,0
483,-0.100000,0.373940,5.390251,0
484,-0.100000,0.373940,5.455194,0
485,-0.100000,0.373940,5.520136,0
486,-0.100000,0.373940,5.585079,0
487,-0.100000,0.373940,5.650022,0
488,-0.100000,0.373940,5.714965,0
489,-0.100000,0.373940,5.779907,0
490,-0.100000,0.373940,5.844850,0
491,-0.100000,0.373940,5.909793,0
492,-0.100000,0.373940,5.974736,0
493,-0.100000,0.373940,6.039679,0
494,-0.100000,0.373940,6.104621,0
495,-0.100000,0.373940,6.169564,0
496,-0.100000,0.373940,6.234507,0
497,-0.100000,0.373940,6.299449,0
498,-0.100000,0.373940,6.364392,0
499,-0.100000,0.373940,6.429335,0
500,-0.100000,0.373940,6.494278,0
501,-0.100000,0.373940,6.559221,0
